,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.7215284109115601,0.6916119066519375,[0.78766345 0.59556037],0.6931984439829519,[0.78100338 0.60539351],0.6902398145342217,[0.79443807 0.58604156],,0.8284135460853577,0.8154826097434437,[0.86432911 0.76663611],0.8210834912012344,[0.846202   0.79596498],0.8113208164796939,[0.88324984 0.7393918 ],80,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(256, 256)",0.1,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6963653564453125,0.6759049994621029,[0.75733651 0.59447349],0.6730804897486053,[0.78821705 0.55794393],0.6824529370506323,[0.7287844  0.63612147],,0.7782720327377319,0.7663178542698288,[0.81917116 0.71346455],0.7649763697607904,[0.82689747 0.70305527],0.767887296866725,[0.81158789 0.7241867 ],80,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(256, 256)",0.1,0.001,12,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.7321528196334839,0.7067864581108816,[0.79302895 0.62054397],0.7059997272334655,[0.79681621 0.61518325],0.7076382287028393,[0.78927752 0.62599893],,0.8076559901237488,0.7938490933754448,[0.84719991 0.74049827],0.797727124341227,[0.83319292 0.76226133],0.7908146650617391,[0.86168591 0.71994342],80,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(256, 256)",0.1,0.001,123,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6805219054222107,0.6618403695289805,[0.74132206 0.58235867],0.6596302175943137,[0.78266412 0.53659632],0.6703913379245625,[0.70412844 0.63665424],,0.9014691710472107,0.8965870136723827,[0.91905658 0.87411744],0.8933242154541248,[0.93468468 0.85196375],0.9006982636527958,[0.9039425  0.89745403],80,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(256, 256)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6926374435424805,0.6749347555407406,[0.75079341 0.5990761 ],0.672423877043824,[0.79386385 0.5509839 ],0.6842612528287869,[0.71215596 0.65636654],,0.8912252187728882,0.886206892029541,[0.9101036  0.86231019],0.8822705145361804,[0.93137255 0.83316848],0.8916743585706861,[0.88978436 0.89356436],80,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(256, 256)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.7112767696380615,0.6829356993246462,[0.77772995 0.58814145],0.6827803770666481,[0.77851192 0.58704883],0.6830938436310138,[0.77694954 0.58923815],,0.9002560973167419,0.8942721473743112,[0.91942509 0.86911921],0.8943258295301213,[0.91922491 0.86942675],0.8942186175707529,[0.91962535 0.86881188],80,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(256, 256)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6943150162696838,0.6769754333036103,[0.75181598 0.60213489],0.6744689052595512,[0.79615385 0.55278396],0.6866586955565439,[0.71215596 0.66116143],,0.8811160326004028,0.875294176210559,[0.90223897 0.84834938],0.8720822128504992,[0.91852855 0.82563588],0.8794325238759679,[0.8865171  0.87234795],80,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(256, 256)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6911463141441345,0.6735375123725204,[0.74935713 0.59771789],0.6711054753900658,[0.79314761 0.54906334],0.6829914299365081,[0.71014908 0.65583378],,0.8730286955833435,0.8670839752148164,[0.89519359 0.83897436],0.8634935046110948,[0.91494201 0.812045  ],0.8720153692252568,[0.87627968 0.86775106],80,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(256, 256)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6984156370162964,0.6725817601693652,[0.7645518  0.58061172],0.6708356305708009,[0.77630024 0.56537102],0.6749252632054861,[0.75315367 0.59669686],,0.8751853108406067,0.8683968089090879,[0.89828647 0.83850715],0.8666515742775058,[0.90604919 0.82725396],0.8703631759697114,[0.89065563 0.85007072],80,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(256, 256)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.7144454717636108,0.6856801474131267,[0.78076703 0.59059327],0.6859609345078514,[0.77942857 0.5924933 ],0.6854077363350652,[0.78211009 0.58870538],,0.7696455121040344,0.7506841007880276,[0.81944004 0.68192816],0.7577466094500871,[0.79565039 0.71984283],0.7462518912687236,[0.84469614 0.64780764],80,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(256, 256)",0.2,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6946877837181091,0.6735560921248143,[0.75661218 0.5905    ],0.670802988217237,[0.78531771 0.55628827],0.6795633587170626,[0.72993119 0.62919552],,0.7747675180435181,0.7616891490013527,[0.81751665 0.70586164],0.7612618618942275,[0.81975471 0.70276902],0.762136199384011,[0.81529079 0.70898161],80,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(256, 256)",0.2,0.001,12,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.7481826543807983,0.7021052253029814,[0.81926421 0.58494624],0.7294261502277176,[0.76799599 0.69085631],0.6925296503301677,[0.87786697 0.50719233],,0.8107561469078064,0.7899888126036922,[0.85602953 0.72394809],0.8120406437941851,[0.80875799 0.81532329],0.7800801072265797,[0.90917012 0.6509901 ],80,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(256, 256)",0.2,0.001,123,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6864864826202393,0.6626176734676054,[0.75235571 0.57287963],0.6603061086028668,[0.77330508 0.54730713],0.6667352224905055,[0.73251147 0.60095898],,0.8912252187728882,0.8852123927139806,[0.91148404 0.85894074],0.8836602789215409,[0.91802916 0.84929139],0.8869217323605592,[0.90503158 0.86881188],80,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(256, 256)",0.2,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.704380214214325,0.683532576370464,[0.76475823 0.60230692],0.680590182778358,[0.79225569 0.56892468],0.6894781651864922,[0.7391055  0.63985083],,0.8940557837486267,0.8894457048163498,[0.91202149 0.86686992],0.8849929126792379,[0.93806125 0.83192458],0.8961340711194061,[0.88738837 0.90487977],80,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(256, 256)",0.2,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.685181736946106,0.6625286650000699,[0.74996299 0.57509434],0.660066811921392,[0.77532905 0.54480458],0.66757729064533,[0.72620413 0.60895045],,0.9011996388435364,0.8961367259504314,[0.91906812 0.87320533],0.8933270741542867,[0.93193014 0.85472401],0.8995299209418095,[0.90655631 0.89250354],80,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(256, 256)",0.2,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.7054985761642456,0.6846651596126181,[0.76571767 0.60361264],0.6817050303892409,[0.79299754 0.57041252],0.6905843247325176,[0.74025229 0.64091636],,0.8613020777702332,0.8530110865071179,[0.88792071 0.81810147],0.852987152207413,[0.88801743 0.81795688],0.8530350569051989,[0.887824   0.81824611],80,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(256, 256)",0.2,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.7304753065109253,0.7068516053086462,[0.79006969 0.62363352],0.7049816644214938,[0.80029412 0.60966921],0.7091778708215823,[0.78010321 0.63825253],,0.8630543351173401,0.8552468972688099,[0.88886458 0.82162921],0.854335200595023,[0.89277082 0.81589958],0.856216131617207,[0.88499238 0.82743989],80,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(256, 256)",0.2,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6717613935470581,0.6522763345672162,[0.7345893  0.56996337],0.6502689953619216,[0.77438831 0.52614968],0.6602090033627739,[0.69868119 0.62173681],,0.8821943402290344,0.8769687225114281,[0.90232454 0.8516129 ],0.8728137353241486,[0.92655497 0.8190725 ],0.8830874748177435,[0.87932912 0.88684583],80,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(256, 256)",0.2,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.7194780707359314,0.6926154422582849,[0.78348439 0.60174649],0.6920521219817248,[0.78631245 0.5977918 ],0.693215234025602,[0.78067661 0.60575386],,0.7967380881309509,0.7837377447190177,[0.8367612  0.73071429],0.7849073134741308,[0.83171939 0.73809524],0.7826720041702648,[0.84186452 0.72347949],80,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(512, 512)",0.1,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,6
