,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6930102705955505,0.6701632629613095,[0.75697211 0.58335441],0.6676336459887604,[0.7798723  0.55539499],0.6748282718616962,[0.73537844 0.6142781 ],,0.7453835010528564,0.7290794838137815,[0.79554064 0.66261832],0.7300480340706021,[0.79066265 0.66943342],0.7282098962455601,[0.8004792  0.65594059],11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(32, 32)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6896551847457886,0.667871013683444,[0.7529307  0.58281133],0.665258590108509,[0.78037527 0.55014191],0.6734783356468697,[0.72735092 0.61960575],,0.7519881129264832,0.7378139903218104,[0.79877515 0.67685283],0.7372370831621183,[0.8021085  0.67236567],0.7384348397655212,[0.7954694  0.68140028],11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(32, 32)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6904007196426392,0.6691397834491273,[0.75301115 0.58526841],0.6664788128802079,[0.78220575 0.55075188],0.6751590352553607,[0.72591743 0.62440064],,0.7596710920333862,0.7452010167938096,[0.80592141 0.68448062],0.7452849079132711,[0.80548303 0.68508679],0.7451179002519227,[0.80636027 0.68387553],11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(32, 32)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.698602020740509,0.674065927897723,[0.76349276 0.5846391 ],0.6719106212705048,[0.77933712 0.56448413],0.6772832220554956,[0.74827982 0.60628663],,0.7615581750869751,0.7465386247662584,[0.80823848 0.68483877],0.7473071180231355,[0.80448856 0.69012567],0.7458278866129138,[0.81202352 0.67963225],11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(32, 32)",0.1,0.0003,1,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6756756901741028,0.6603677288547614,[0.73247232 0.58826313],0.6594745718308936,[0.7897878  0.52916135],0.6725699009741292,[0.68291284 0.66222696],,0.7496967315673828,0.7404544489563899,[0.78943191 0.69147699],0.7377336907521657,[0.82332072 0.65214666],0.747039168941632,[0.75822261 0.73585573],11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(32, 32)",0.1,0.0003,12,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6848089694976807,0.6646952951899514,[0.74681839 0.5825722 ],0.6621757317109385,[0.78157317 0.54277829],0.6718428477513894,[0.71502294 0.62866276],,0.7467313408851624,0.7312986397509018,[0.79569425 0.66690303],0.7315398669319404,[0.79439861 0.66868112],0.7310642447541266,[0.79699412 0.66513437],11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(32, 32)",0.1,0.0003,123,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6820130348205566,0.6585989138057085,[0.74800591 0.56919192],0.6562636859191804,[0.7714808  0.54104657],0.6631718216165754,[0.72591743 0.60042621],,0.7607493996620178,0.7466191303530665,[0.80645513 0.68678313],0.746438102474732,[0.80742358 0.68545262],0.7468039060495028,[0.805489   0.68811881],11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(32, 32)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.679962694644928,0.6614051935975597,[0.74067361 0.58213677],0.6592393722965266,[0.78263645 0.53584229],0.6700843259544559,[0.70298165 0.637187  ],,0.7610189914703369,0.7482959456603899,[0.8048861  0.69170579],0.7469274775586434,[0.81338968 0.68046528],0.7499411939046847,[0.79655848 0.7033239 ],11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(32, 32)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6905871629714966,0.671631988904532,[0.750526   0.59273798],0.6690164828267142,[0.78869236 0.54934061],0.6797316043315265,[0.71588303 0.64358018],,0.7656018137931824,0.752287673169453,[0.8097166  0.69485875],0.7515997937706609,[0.81354442 0.68965517],0.7530330389357198,[0.80592464 0.70014144],11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(32, 32)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6959925293922424,0.6654928116993022,[0.76649964 0.56448598],0.6656795607614725,[0.7655133  0.56584582],0.6653105953038472,[0.76748853 0.56313266],,0.7422833442687988,0.7218462730678246,[0.79724284 0.6464497 ],0.7271663855207448,[0.77681339 0.67751938],0.7184402667170287,[0.81877587 0.61810467],11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(128, 128)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6902143359184265,0.6686384186384187,[0.75319275 0.58408408],0.6660003657894408,[0.78126925 0.55073148],0.6744005171242418,[0.72706422 0.62173681],,0.7452486753463745,0.7303660952744884,[0.79371316 0.66701903],0.7300632698448204,[0.79544957 0.66467697],0.7306809845965772,[0.79198432 0.66937765],11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(128, 128)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6950605511665344,0.6674067950546146,[0.76331019 0.5715034 ],0.6662626632865802,[0.77044393 0.5620814 ],0.6687770048339875,[0.75630734 0.58124667],,0.7591319680213928,0.741687015509219,[0.80881566 0.67455837],0.7451208932046072,[0.79478553 0.69545625],0.7391149031821376,[0.82335003 0.65487977],11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(128, 128)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6829450130462646,0.6593489437141391,[0.74900398 0.5696939 ],0.6570261647542371,[0.77166312 0.54238921],0.6637655308343883,[0.72763761 0.59989345],,0.7704542279243469,0.7569298722037321,[0.81426546 0.69959428],0.7567076228396865,[0.81542158 0.69799366],0.7571574373574521,[0.81311261 0.70120226],11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(128, 128)",0.1,0.0003,1,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6857408881187439,0.6671789204301606,[0.74577805 0.5885798 ],0.6647881286997925,[0.78657761 0.54299865],0.6757584723084367,[0.70900229 0.64251465],,0.7828548550605774,0.7719546915984314,[0.82181175 0.72209764],0.7698913113407836,[0.83483146 0.70495116],0.7746454535455723,[0.8091919  0.74009901],11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(128, 128)",0.1,0.0003,12,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6734389662742615,0.6501938033539785,[0.74036752 0.56002009],0.6479744400565408,[0.76625767 0.52969121],0.6551013781018902,[0.71616972 0.59403303],,0.7642539143562317,0.7486952404958415,[0.81122504 0.68616544],0.750280706430878,[0.80402225 0.69653916],0.7473271147010772,[0.81855805 0.67609618],11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(128, 128)",0.1,0.0003,123,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6753028631210327,0.6482047198189091,[0.74584184 0.5505676 ],0.6465625861058872,[0.75935829 0.53376688],0.650629237070672,[0.73279817 0.56846031],,0.7800242900848389,0.7641809212094696,[0.82530507 0.70305677],0.7677730278199145,[0.81140812 0.72413793],0.7614273298381897,[0.83968634 0.68316832],11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(128, 128)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6674743890762329,0.6498699737372118,[0.72838002 0.57135992],0.6484867430162835,[0.77662338 0.52035011],0.6596187308461189,[0.68577982 0.63345765],,0.7774632573127747,0.7665511343943905,[0.81702316 0.71607911],0.764349561094466,[0.8316787  0.69702042],0.7695422629047608,[0.80287519 0.73620934],11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(128, 128)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6855545043945312,0.6625071627345318,[0.75070194 0.57431239],0.6600840585532677,[0.77462641 0.54554171],0.6672488183857708,[0.72821101 0.60628663],,0.7571101188659668,0.7413562266633132,[0.80518919 0.67752326],0.7425913612736452,[0.79931316 0.68586957],0.7402649532308616,[0.81115225 0.66937765],11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(128, 128)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,5
