,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,embedding_dim,num_features,log_signature,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,0.3184868649524801,0.644423246383667,0.6433329049065801,[0.62361251 0.6630533 ],0.6518539363534033,[0.69909502 0.60461285],0.6484207650273224,[0.56284153 0.734     ],0.20108912885189056,0.6868327260017395,0.6501414827391059,[0.76344086 0.53684211],0.657648374941121,[0.7357513  0.57954545],0.6466480446927374,[0.79329609 0.5       ],35,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(128, 128)",0.5,0.001,1,focal,2,False,,Conv1d,,concatenation,64,0
0,0.6923668068998,0.6329838037490845,0.6327915804787125,[0.62439024 0.64119292],0.6363089738513207,[0.67226891 0.60034904],0.6354389799635701,[0.58287796 0.688     ],0.3442301630973816,0.7402135133743286,0.7185257351427747,[0.79665738 0.64039409],0.719004400440044,[0.79444444 0.64356436],0.718068791762515,[0.79888268 0.6372549 ],35,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(128, 128)",0.5,0.001,12,focal,2,False,,Conv1d,,concatenation,64,0
0,0.3713640982613844,0.6034318804740906,0.5873640255987411,[0.50593824 0.66878981],0.6412590064467198,[0.72696246 0.55555556],0.6139890710382514,[0.38797814 0.84      ],0.20987022221088408,0.690391480922699,0.683316709198544,[0.73065015 0.63598326],0.6870944849959448,[0.81944444 0.55474453],0.7021579581553292,[0.65921788 0.74509804],35,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(128, 128)",0.5,0.001,123,focal,2,False,,Conv1d,,concatenation,64,0
0,0.2656207899836933,0.6072450280189514,0.6021247606422153,[0.55698925 0.64726027],0.6228291448598865,[0.67979003 0.56586826],0.6138834244080146,[0.47176685 0.756     ],0.24056948721408844,0.5693950057029724,0.48094038623005875,[0.69521411 0.26666667],0.4911169360710645,[0.63302752 0.34920635],0.4933179975900975,[0.77094972 0.21568627],35,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(128, 128)",0.5,0.0001,1,focal,2,False,,Conv1d,,concatenation,64,1
0,0.3833247966626111,0.6644423604011536,0.6600677566651937,[0.62150538 0.69863014],0.6846543134204033,[0.75853018 0.61077844],0.6712058287795992,[0.52641166 0.816     ],0.23640107214450837,0.6014235019683838,0.5653038674033148,[0.69060773 0.44      ],0.566019850563176,[0.68306011 0.44897959],0.5648482856829883,[0.69832402 0.43137255],35,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(128, 128)",0.5,0.0001,12,focal,2,False,,Conv1d,,concatenation,64,1
0,0.4357609030078439,0.6911344528198242,0.6911273964535758,[0.69259962 0.68965517],0.6922684915550379,[0.72277228 0.66176471],0.6924225865209472,[0.66484517 0.72      ],0.2352750927209854,0.6761565804481506,0.647593059632585,[0.74792244 0.54726368],0.6486568986568987,[0.74175824 0.55555556],0.646702815204294,[0.75418994 0.53921569],35,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(128, 128)",0.5,0.0001,123,focal,2,False,,Conv1d,,concatenation,64,1
0,0.33342403436408324,0.6406100988388062,0.6231167655397518,[0.54191981 0.70431373],0.6966117259241817,[0.81386861 0.57935484],0.652096539162113,[0.40619308 0.898     ],0.21539504528045655,0.6832740306854248,0.6537923778672978,[0.75482094 0.55276382],0.6557877633348275,[0.74456522 0.56701031],0.652289407383065,[0.76536313 0.53921569],35,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(128, 128)",0.5,0.0005,1,focal,2,False,,Conv1d,,concatenation,64,2
0,0.41473888036082773,0.6358436942100525,0.6295246442412946,[0.58114035 0.67790894],0.6580166895565782,[0.73002755 0.58600583],0.6433479052823315,[0.48269581 0.804     ],0.2653574287891388,0.6832740306854248,0.6729182197460143,[0.73111782 0.61471861],0.6732201142390861,[0.79605263 0.5503876 ],0.686028042501917,[0.67597765 0.69607843],35,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(128, 128)",0.5,0.0005,12,focal,2,False,,Conv1d,,concatenation,64,2
0,0.3505358161295162,0.6101048588752747,0.5841646821877632,[0.48030496 0.68802441],0.6751106114455646,[0.79411765 0.55610358],0.6231311475409836,[0.3442623 0.902    ],0.22296114265918732,0.6797152757644653,0.6785387431360586,[0.69798658 0.65909091],0.705493308434485,[0.87394958 0.53703704],0.7169733815313835,[0.58100559 0.85294118],35,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(128, 128)",0.5,0.0005,123,focal,2,False,,Conv1d,,concatenation,64,2
0,0.41228888315313,0.6205910444259644,0.6175853124152737,[0.58368201 0.65148862],0.632471468920067,[0.68550369 0.57943925],0.6260983606557378,[0.50819672 0.744     ],0.3489822030067444,0.6085408926010132,0.5648930180180181,[0.7027027  0.42708333],0.5680919139034323,[0.68062827 0.45555556],0.5641088837769745,[0.72625698 0.40196078],35,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(128, 128)",0.1,0.001,1,focal,2,False,,Conv1d,,concatenation,64,3
