,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.7000932097434998,0.6603111426740934,[0.77655881 0.54406347],0.6670718482082129,[0.75302989 0.5811138 ],0.6565299765876642,[0.8016055  0.51145445],,0.7269173860549927,0.7009808914480766,[0.78904623 0.61291555],0.7112507480550568,[0.75583483 0.66666667],0.6962478399254184,[0.82531039 0.56718529],5,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,cls,10,1,"(256, 256)",0.1,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6935694217681885,0.6602989718452157,[0.76660988 0.55398806],0.6618401555526952,[0.75928009 0.56440022],0.6590178427414428,[0.77408257 0.54395312],,0.7266477942466736,0.7026659282521647,[0.78710896 0.61822289],0.7103531905104523,[0.75967579 0.6610306 ],0.6986100195419549,[0.81659769 0.58062235],5,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,cls,10,1,"(256, 256)",0.1,0.001,12,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6898415684700012,0.6430194910615717,[0.77230432 0.51373466],0.6538377471661668,[0.73874346 0.56893204],0.6386800562580343,[0.80905963 0.46830048],,0.7258390784263611,0.6955809729307509,[0.79155565 0.5996063 ],0.7118616967701505,[0.74743565 0.67628774],0.6898771025778558,[0.84121107 0.53854314],5,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,cls,10,1,"(256, 256)",0.1,0.001,123,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.704380214214325,0.6646322044902107,[0.78008874 0.54917567],0.6720180085889835,[0.75537057 0.58866545],0.6605651983450069,[0.80647936 0.51465104],,0.7340611815452576,0.7049606551037446,[0.79762027 0.61230104],0.7214280826716107,[0.75378054 0.68907563],0.6988968484862301,[0.84687432 0.55091938],5,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,cls,10,1,"(256, 256)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6924510598182678,0.6654945703729366,[0.76045296 0.57053618],0.6640274659482113,[0.77029412 0.55776081],0.6673852936073081,[0.75086009 0.5839105 ],,0.7288044095039368,0.7099615122155192,[0.78388829 0.63603473],0.7121840785477149,[0.77325705 0.65111111],0.7082283398704248,[0.79481594 0.62164074],5,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,cls,10,1,"(256, 256)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6917055249214172,0.6522565112530868,[0.76938093 0.5351321 ],0.6576218947023029,[0.74891422 0.56632957],0.6490950173026448,[0.79099771 0.50719233],,0.7199083566665649,0.6915649465544271,[0.78506413 0.59806576],0.7038041151745611,[0.74748867 0.66011956],0.6866466954440411,[0.82661729 0.5466761 ],5,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,cls,10,1,"(256, 256)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6913326978683472,0.6593023790897796,[0.76376605 0.55483871],0.6600180463980689,[0.7600795  0.55995659],0.6586510321711887,[0.76748853 0.54981353],,0.7317698001861572,0.7075013206592313,[0.79175387 0.62324877],0.7163375905174856,[0.76193353 0.67074165],0.7030201300927927,[0.82400349 0.58203678],5,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,cls,10,1,"(256, 256)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.701957106590271,0.6651840311395611,[0.77614448 0.55422359],0.6698498412012703,[0.75841313 0.58128655],0.6621466154756028,[0.79472477 0.52956846],,0.7331176996231079,0.704108140737463,[0.79675631 0.61145997],0.7201973932220487,[0.75344593 0.68694885],0.6981344873448667,[0.8453496  0.55091938],5,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,cls,10,1,"(256, 256)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6863000988960266,0.6480822434041547,[0.7640544  0.53211009],0.6519974000701821,[0.74759945 0.55639535],0.6455530767181673,[0.78125    0.50985615],,0.7248955368995667,0.6985833085324061,[0.78763916 0.60952745],0.7090053707637146,[0.75398406 0.66402668],0.6938673676466194,[0.82443912 0.56329562],5,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,cls,10,1,"(256, 256)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.7015843391418457,0.667221390343337,[0.77415714 0.56028564],0.6701209225706389,[0.76201055 0.57823129],0.6650587996656777,[0.78669725 0.54342035],,0.7204474806785583,0.696822817862049,[0.78145416 0.61219147],0.7032461678282254,[0.75688916 0.64960317],0.6932607444551282,[0.80766717 0.57885431],5,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,cls,10,1,"(256, 256)",0.2,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,3
