,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6920782923698425,0.6642327304687796,[0.76092619 0.56753927],0.6630821636993292,[0.76826417 0.55790015],0.6656221895421642,[0.75372706 0.57751731],,0.7309610247612,0.7131023788267679,[0.78468177 0.64152299],0.7145638300029796,[0.77730284 0.65182482],0.7118719301061637,[0.79220213 0.63154173],5,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,signature,10,1,"(256, 256)",0.1,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6935694217681885,0.664589263826358,[0.76318064 0.56599789],0.663949865724206,[0.76693688 0.56096285],0.6652925717155523,[0.75946101 0.57112413],,0.7288044095039368,0.7093590607293756,[0.7845363  0.63418182],0.7121699302048946,[0.77164525 0.65269461],0.7072778146283993,[0.79786539 0.61669024],5,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,signature,10,1,"(256, 256)",0.1,0.001,12,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.687045693397522,0.6631114701463162,[0.75290655 0.57331639],0.6608078455365903,[0.77351073 0.54810496],0.6671652683620651,[0.73337156 0.60095898],,0.729613184928894,0.7137017876764824,[0.78119546 0.64620811],0.7135033396028886,[0.78239021 0.64461647],0.7139059971280135,[0.78000436 0.64780764],5,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,signature,10,1,"(256, 256)",0.1,0.001,123,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6907735466957092,0.6629282480620202,[0.75980889 0.56604761],0.6617441015641087,[0.76747587 0.55601233],0.6643726813722854,[0.75229358 0.57645178],,0.7409354448318481,0.7200368124042269,[0.79652763 0.64354599],0.7257741669090039,[0.77487127 0.67667707],0.7164685487903428,[0.81942932 0.61350778],5,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,signature,10,1,"(256, 256)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6814538836479187,0.6542848027780332,[0.75120105 0.55736856],0.6527132767553023,[0.76308784 0.54233871],0.6564670467709062,[0.7396789  0.57325519],,0.735004723072052,0.7166342355756117,[0.78878384 0.64448463],0.7188801799937137,[0.77824889 0.65951147],0.7148676135000002,[0.79960793 0.6301273 ],5,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,signature,10,1,"(256, 256)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6779124140739441,0.6580505541290121,[0.7404626  0.57563851],0.6557716490733888,[0.77760252 0.53394077],0.6655546774571955,[0.70670872 0.62440064],,0.7281304597854614,0.7126878877416829,[0.77929752 0.64607826],0.7121107582052901,[0.78298153 0.64123999],0.71331905299003,[0.77564801 0.6509901 ],5,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,signature,10,1,"(256, 256)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6926374435424805,0.6661946468576819,[0.76014545 0.57224384],0.6645565794151969,[0.77147919 0.55763397],0.6683898795413332,[0.74913991 0.58763985],,0.7368917465209961,0.7195071593048961,[0.78933736 0.64967696],0.7209334902792286,[0.78224599 0.65962099],0.718293386266778,[0.79655848 0.64002829],5,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,signature,10,1,"(256, 256)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6991612315177917,0.6632953074562014,[0.77318718 0.55340343],0.6669871288303917,[0.75826902 0.57570524],0.6607345895265233,[0.78870413 0.53276505],,0.740665853023529,0.715488271324513,[0.80012466 0.63085188],0.7272216964470185,[0.76484608 0.68959732],0.7100723172482166,[0.83881507 0.58132956],5,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,signature,10,1,"(256, 256)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6924510598182678,0.6628780746844884,[0.76272649 0.56302966],0.6624577213931346,[0.76514714 0.5597683 ],0.6633251748593549,[0.7603211  0.56632925],,0.7368917465209961,0.7169984674572688,[0.79203068 0.64196625],0.7210516067295709,[0.77518248 0.66692073],0.7142197066580978,[0.80962753 0.61881188],5,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,signature,10,1,"(256, 256)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6876048445701599,0.6644615721265781,[0.75258341 0.57633974],0.6620278517722218,[0.77571516 0.54834055],0.6690717210510624,[0.73079128 0.60735216],,0.7269173860549927,0.7111184306318792,[0.77867599 0.64356087],0.7107356256111912,[0.78106509 0.64040616],0.7115241384579694,[0.77630146 0.64674682],5,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,signature,10,1,"(256, 256)",0.2,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,3
