,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,swnu_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6704566478729248,0.65319284357503,[0.73056995 0.57581574],0.6517772580153678,[0.77976578 0.52378874],0.6632656817437547,[0.6872133  0.63931806],,0.8525407910346985,0.8462821752318044,[0.87729924 0.81526511],0.8422486184335896,[0.90427746 0.78021978],0.8527454551784333,[0.85188412 0.85360679],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(256, 256)",0.1,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.687045693397522,0.6718637580178197,[0.74244516 0.60128236],0.6704164083391926,[0.79841636 0.54241645],0.6841439467625969,[0.69380734 0.67448055],,0.8448578119277954,0.8387667150590449,[0.87010495 0.80742848],0.8345426561943385,[0.9028103  0.76627501],0.8464697626528996,[0.83968634 0.85325318],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(256, 256)",0.1,0.001,12,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6887232065200806,0.6727016069404772,[0.745116   0.60028722],0.6708257307811453,[0.79667102 0.54498044],0.6839576775598384,[0.69982798 0.66808737],,0.8189783096313477,0.8126068962357573,[0.84716058 0.77805321],0.8087053491542409,[0.88703527 0.73037543],0.821553500684107,[0.81071662 0.83239038],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(256, 256)",0.1,0.001,123,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6868592500686646,0.6623662680931404,[0.75330396 0.57142857],0.6601693187085724,[0.77212523 0.54821341],0.666037648526587,[0.73537844 0.59669686],,0.8235611319541931,0.8117002045797153,[0.85895916 0.76444125],0.814100231189756,[0.84989339 0.77830707],0.8096406258231698,[0.86822043 0.75106082],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(256, 256)",0.1,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6872320771217346,0.6629139815770878,[0.75345284 0.57237513],0.6606811950507263,[0.77275467 0.54860772],0.6666934474786528,[0.73509174 0.59829515],,0.8153389692306519,0.8040464935145055,[0.85108696 0.75700603],0.8044278214756986,[0.84942504 0.7594306 ],0.8036761396213057,[0.85275539 0.75459689],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(256, 256)",0.1,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.7015843391418457,0.6771479676352807,[0.76596989 0.58832605],0.6749891346819175,[0.7813898  0.56858847],0.6803150034458656,[0.75114679 0.60948322],,0.8134519457817078,0.8023408257724917,[0.84920462 0.75547703],0.8022591941854837,[0.84957489 0.7549435 ],0.8024229959791573,[0.84883468 0.75601132],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(256, 256)",0.1,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6728797554969788,0.6512534164614411,[0.73809879 0.56440804],0.6490156884728282,[0.76968565 0.52834572],0.6573780780622993,[0.70900229 0.60575386],,0.8425663709640503,0.8344885440311227,[0.87105321 0.79792388],0.8321541803396544,[0.88314305 0.78116531],0.8373535855312513,[0.85928992 0.81541726],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(256, 256)",0.1,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6885368227958679,0.6723061012430591,[0.74523555 0.59937665],0.6703658575014968,[0.79583198 0.54489974],0.6833221933301726,[0.70068807 0.66595631],,0.8284135460853577,0.8223008556171767,[0.85525867 0.78934304],0.8182296576022539,[0.89462417 0.74183515],0.8312818465622273,[0.8192115  0.84335219],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(256, 256)",0.1,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6879776120185852,0.6694860725759346,[0.74766355 0.59130859],0.6670219657027802,[0.78830261 0.54574132],0.6780938253019408,[0.71100917 0.64517848],,0.8146650195121765,0.8065223309204461,[0.84621407 0.76683059],0.8031886158582489,[0.86965517 0.73672206],0.8117542177872765,[0.82400349 0.79950495],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(256, 256)",0.1,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6700838804244995,0.6482378498229493,[0.73589973 0.56057597],0.6460701770525684,[0.7672682  0.52487215],0.6542435774928761,[0.70699541 0.60149174],,0.8501145839691162,0.8428702226988344,[0.87660897 0.80913148],0.8398269056397245,[0.89346302 0.78619079],0.8469151023295378,[0.860379  0.8334512],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(256, 256)",0.2,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,3
