,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,embedding_dim,num_features,log_signature,swnu_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,0.31746415180318494,0.631077229976654,0.6308840042734072,[0.62243902 0.63932898],0.6343859533342132,[0.67016807 0.59860384],0.633528233151184,[0.58105647 0.686     ],0.1945461004972458,0.7188612222671509,0.6701338841255925,[0.79691517 0.5433526 ],0.7000335345405768,[0.73809524 0.66197183],0.6633530507174937,[0.86592179 0.46078431],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(64, 64)",0.5,0.001,1,False,focal,2,False,,Conv1d,,concatenation,64,0
0,0.405274361371994,0.605338454246521,0.5982850482850482,[0.65151515 0.54505495],0.6052559257986946,[0.6056338  0.60487805],0.6004590163934427,[0.70491803 0.496     ],0.21282356977462769,0.7330960631370544,0.6847938259972179,[0.80818414 0.56140351],0.720467596390484,[0.74528302 0.69565217],0.6766348997699638,[0.88268156 0.47058824],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(64, 64)",0.5,0.001,12,False,focal,2,False,,Conv1d,,concatenation,64,0
0,0.3180709603954764,0.5776930451393127,0.5776377700846257,[0.57280617 0.58246937],0.5797043482072411,[0.60860656 0.55080214],0.5794918032786885,[0.54098361 0.618     ],0.20119587779045106,0.6797152757644653,0.6440033783783784,[0.75675676 0.53125   ],0.6498254799301919,[0.73298429 0.56666667],0.6410614525139664,[0.78212291 0.5       ],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(64, 64)",0.5,0.001,123,False,focal,2,False,,Conv1d,,concatenation,64,0
0,0.24437034480711994,0.54146808385849,0.4498913561349168,[0.22544283 0.67433988],0.7409729330148982,[0.97222222 0.50972364],0.561752276867031,[0.12750455 0.996     ],0.24260125756263734,0.5516014099121094,0.546076923076923,[0.496      0.59615385],0.6580482897384305,[0.87323944 0.44285714],0.6290667104830759,[0.34636872 0.91176471],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(64, 64)",0.5,0.0001,1,False,focal,2,False,,Conv1d,,concatenation,64,1
0,0.35960262312608604,0.6081982851028442,0.6073061232296901,[0.62602366 0.58858859],0.6073164510839861,[0.62545455 0.58917836],0.6072969034608379,[0.62659381 0.588     ],0.21366119086742402,0.7153024673461914,0.6691003297220914,[0.79274611 0.54545455],0.6938895417156287,[0.73913043 0.64864865],0.6626684193230366,[0.8547486  0.47058824],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(64, 64)",0.5,0.0001,12,False,focal,2,False,,Conv1d,,concatenation,64,1
0,0.24654624479658463,0.5795996189117432,0.544811035313357,[0.41897233 0.67064974],0.6461518814915717,[0.75714286 0.53516091],0.5938087431693989,[0.28961749 0.898     ],0.24361248016357423,0.6405693888664246,0.6257039235080777,[0.70029674 0.55111111],0.6254502418441905,[0.74683544 0.50406504],0.633530507174937,[0.65921788 0.60784314],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(64, 64)",0.5,0.0001,123,False,focal,2,False,,Conv1d,,concatenation,64,1
0,0.3146204334848067,0.5900858044624329,0.5859372705108246,[0.62738302 0.54449153],0.5885879681334227,[0.59834711 0.57882883],0.5866903460837887,[0.65938069 0.514     ],0.1977462112903595,0.7295373678207397,0.6728152959921558,[0.80904523 0.53658537],0.7224186183532184,[0.73515982 0.70967742],0.6654069449008654,[0.89944134 0.43137255],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(64, 64)",0.5,0.0005,1,False,focal,2,False,,Conv1d,,concatenation,64,2
0,0.35363886812153983,0.6539561748504639,0.6531037253449723,[0.67029973 0.63590772],0.6531526113200945,[0.66847826 0.63782696],0.6530655737704918,[0.67213115 0.634     ],0.2119871586561203,0.708185076713562,0.6687083045778698,[0.78306878 0.55434783],0.6828349062385096,[0.74371859 0.62195122],0.6634078212290503,[0.82681564 0.5       ],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(64, 64)",0.5,0.0005,12,False,focal,2,False,,Conv1d,,concatenation,64,2
0,0.3180805926813799,0.6167778968811035,0.6165238361984302,[0.62639405 0.60665362],0.6166692112514268,[0.63946869 0.59386973],0.6169216757741348,[0.61384335 0.62      ],0.1919313669204712,0.6939501762390137,0.6373649459783914,[0.78061224 0.49411765],0.6679784589892295,[0.71830986 0.61764706],0.6332566546171541,[0.8547486  0.41176471],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(64, 64)",0.5,0.0005,123,False,focal,2,False,,Conv1d,,concatenation,64,2
0,0.42778660532306223,0.5748332142829895,0.5735741264656128,[0.59674503 0.55040323],0.5736688269037089,[0.59245961 0.55487805],0.5735464480874317,[0.6010929 0.546    ],0.2609892010688782,0.7224199175834656,0.6732558139534883,[0.8        0.54651163],0.7053825321597833,[0.73933649 0.67142857],0.6661463468068791,[0.87150838 0.46078431],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(64, 64)",0.1,0.001,1,False,focal,2,False,,Conv1d,,concatenation,64,3
