,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,swnu_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6948741674423218,0.6750860489668444,[0.75526985 0.59490225],0.6722906312202576,[0.7891284  0.55545287],0.6822904192714316,[0.72419725 0.64038359],,0.8440490365028381,0.8356622977782929,[0.87278725 0.79853735],0.833918811256775,[0.8812167  0.78662093],0.8376689510286561,[0.86451753 0.81082037],80,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(256, 256)",0.1,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.7012115716934204,0.6797119301332812,[0.7626943  0.59672956],0.676895628147903,[0.78849097 0.56530029],0.6851957300591907,[0.73853211 0.63185935],,0.830704927444458,0.820178551965421,[0.8636857  0.77667141],0.8209061986206307,[0.86069652 0.78111588],0.8194864683593168,[0.86669571 0.77227723],80,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(256, 256)",0.1,0.001,12,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.727679431438446,0.6983072096404177,[0.79244211 0.60417231],0.7000381432067058,[0.78541256 0.61466373],0.6968158276431745,[0.79959862 0.59403303],,0.8192479014396667,0.8062730443002603,[0.85640861 0.75613748],0.8103047664436613,[0.84224937 0.77836016],0.8031002866132835,[0.87105206 0.73514851],80,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(256, 256)",0.1,0.001,123,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.707176148891449,0.6754249853692346,[0.77694164 0.57390833],0.6770753199524442,[0.76962025 0.58453039],0.674034546636493,[0.78440367 0.56366542],,0.825043797492981,0.8126386843817415,[0.86084906 0.76442831],0.8164088788390126,[0.84758286 0.7852349 ],0.8096165180198514,[0.87453714 0.7446959 ],80,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(256, 256)",0.1,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.687045693397522,0.6605840465324887,[0.7553548  0.56581329],0.6588743718592964,[0.768      0.54974874],0.6629821157126587,[0.74311927 0.58284497],,0.8080604076385498,0.7928394837074175,[0.84899258 0.73668639],0.799665027850267,[0.82723703 0.77209302],0.7881540262188151,[0.87192333 0.70438472],80,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(256, 256)",0.1,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.7105312347412109,0.6820390590150225,[0.77721991 0.58685821],0.681928208761365,[0.77777778 0.58607864],0.6821513474312415,[0.77666284 0.58763985],,0.8168216943740845,0.8050371863179411,[0.85296981 0.75710456],0.806413708922347,[0.84737747 0.76544995],0.8037878211382765,[0.85863646 0.74893918],80,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(256, 256)",0.1,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6967381238937378,0.6678581203607952,[0.76579819 0.56991805],0.667295377692271,[0.76900838 0.56558237],0.6684677017297757,[0.76261468 0.57432072],,0.8325920104980469,0.8206420030421415,[0.86693808 0.77434593],0.8246922063101725,[0.85304659 0.79633782],0.8174127736543764,[0.88128948 0.75353607],80,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(256, 256)",0.1,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6922646760940552,0.6673596162204123,[0.75837846 0.57634077],0.6652647663869526,[0.77458894 0.55594059],0.6705638603226894,[0.74283257 0.59829515],,0.8131823539733887,0.800172730783438,[0.85115979 0.74918567],0.8033378926610422,[0.8394408  0.76723499],0.7975883416203586,[0.86321063 0.73196605],80,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(256, 256)",0.1,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.724883496761322,0.6995808941895162,[0.78676683 0.61239496],0.6983925179918606,[0.79295282 0.60383221],0.7009403272594859,[0.78067661 0.62120405],,0.8042863011360168,0.7928248912581408,[0.84155391 0.74409588],0.7924764717100388,[0.84321015 0.7417428 ],0.7931840462105768,[0.83990416 0.74646393],80,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(256, 256)",0.1,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6747437119483948,0.658444085422352,[0.73305798 0.58383019],0.6571644147320874,[0.78583142 0.52849741],0.6695155137272537,[0.68692661 0.65210442],,0.841892421245575,0.8346176983557241,[0.86930362 0.79993178],0.8312395155665653,[0.88982664 0.77265239],0.8394569336044909,[0.84970595 0.82920792],80,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(256, 256)",0.2,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,3
