,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,swnu_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6872320771217346,0.6639196023572334,[0.75243435 0.57540486],0.6615138975354304,[0.77507599 0.54795181],0.6684159220989965,[0.73107798 0.60575386],,0.7327132821083069,0.7172308146797874,[0.78339705 0.65106458],0.7168501376032024,[0.78571429 0.64798599],0.7176330019036692,[0.78109344 0.65417256],11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(256, 256)",0.1,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6874184608459473,0.6662215597432507,[0.75033497 0.58210815],0.6636219281488106,[0.78042738 0.54681648],0.6723733216678968,[0.72247706 0.62226958],,0.7317698001861572,0.718599844286352,[0.77947695 0.65772274],0.7168447113675384,[0.79336792 0.6403215 ],0.7210801096912753,[0.76606404 0.67609618],11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(256, 256)",0.1,0.001,12,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6876048445701599,0.6684669960265033,[0.74812143 0.58881256],0.6659340503077118,[0.78616551 0.54570259],0.6764537551382501,[0.71358945 0.63931806],,0.7246259450912476,0.7119556331975654,[0.77236769 0.65154358],0.709963368366623,[0.79060219 0.62932455],0.7151721574435191,[0.75495535 0.67538897],11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(256, 256)",0.1,0.001,123,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6958061456680298,0.6765510601060727,[0.75546898 0.59763314],0.6737463870011844,[0.79127433 0.55621845],0.6842375014052289,[0.72276376 0.64571124],,0.7414745688438416,0.7286480083673863,[0.78764393 0.66965208],0.7268664191914617,[0.80094573 0.65278711],0.7310941676985012,[0.77477674 0.6874116 ],11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(256, 256)",0.1,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6887232065200806,0.6680456063036564,[0.75089499 0.58519622],0.6654055947577144,[0.78264925 0.54816194],0.6746071010494006,[0.72161697 0.62759723],,0.7448443174362183,0.732528214233592,[0.78992343 0.675133  ],0.7305444575039342,[0.80520362 0.6558853 ],0.7353784632438413,[0.77521237 0.69554455],11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(256, 256)",0.1,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.7002795934677124,0.6740842312880226,[0.76648272 0.58168574],0.6725057773450276,[0.77663331 0.56837824],0.6761126816411118,[0.75659404 0.59563133],,0.7515837550163269,0.7339106820078389,[0.80248634 0.66533503],0.7368553352138763,[0.78987342 0.68383725],0.7316581208483359,[0.8155086  0.64780764],11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(256, 256)",0.1,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.7008387446403503,0.6743544676952575,[0.76722263 0.58148631],0.6729007274274289,[0.77634282 0.56945863],0.6761736258083122,[0.75831422 0.59403303],,0.7437660098075867,0.7263030231991521,[0.79543743 0.65716862],0.7283205276668305,[0.78604849 0.67059257],0.7246624676470199,[0.80505337 0.64427157],11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(256, 256)",0.1,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.7032619118690491,0.6794936068936035,[0.7667741  0.59221311],0.6771516669952644,[0.7840024  0.57030094],0.6830815478779821,[0.7502867 0.6158764],,0.7506402730941772,0.7360726329406367,[0.79807902 0.67406624],0.7357622108972295,[0.79982498 0.67169944],0.7363952271786908,[0.79634067 0.67644979],11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(256, 256)",0.1,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6993476152420044,0.6797239089890202,[0.75900194 0.60044588],0.6768114057895649,[0.7925117  0.56111111],0.68696112525844,[0.72821101 0.64571124],,0.7439007759094238,0.7311283419693625,[0.78972997 0.67252671],0.7293592462004792,[0.80269966 0.65601883],0.733529787540163,[0.77717273 0.68988685],11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(256, 256)",0.1,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6978564858436584,0.673042231585322,[0.76311559 0.58296887],0.6709615113701239,[0.77824143 0.56368159],0.6760946580528171,[0.74856651 0.6036228 ],,0.738778829574585,0.7219146616237715,[0.79039585 0.65343348],0.7229804794185174,[0.78496241 0.66099855],0.7209723177719645,[0.79590503 0.6460396 ],11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(256, 256)",0.2,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,3
