,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,swnu_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6948741674423218,0.6710436840629306,[0.7595829  0.58250446],0.6686947675086666,[0.77868112 0.55870841],0.6749083851842439,[0.74139908 0.60841769],,0.746461808681488,0.7323419824083975,[0.79381782 0.67086614],0.7314980398786782,[0.798985   0.66401108],0.7332906350503737,[0.78871706 0.67786421],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(256, 256)",0.1,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6676607728004456,0.6442599956585847,[0.73549918 0.55302081],0.6421597866538113,[0.76206579 0.52225379],0.649181163945003,[0.71072248 0.58763985],,0.7793503403663635,0.7686154368705949,[0.81845403 0.71877684],0.7663370729925785,[0.8337099  0.69896425],0.7717459317889346,[0.80374646 0.7397454 ],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(256, 256)",0.1,0.001,12,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6896551847457886,0.670486018390567,[0.74996246 0.59100958],0.6678811684169463,[0.78744875 0.54831358],0.6783996917049948,[0.71588303 0.64091636],,0.7502358555793762,0.7381800216454548,[0.79436245 0.6819976 ],0.7361413457577866,[0.80972851 0.66255418],0.7410927058259549,[0.77956872 0.70261669],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(256, 256)",0.1,0.001,123,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6905871629714966,0.6687667571090607,[0.75378226 0.58375125],0.6661412532532929,[0.78088506 0.55139744],0.6743181126675888,[0.72849771 0.62013852],,0.7629060745239258,0.748285902083142,[0.80894971 0.68762209],0.7487238233855655,[0.8067591  0.69068855],0.7478674991997442,[0.81115225 0.68458274],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(256, 256)",0.1,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6922646760940552,0.6716591375677158,[0.75391265 0.58940562],0.6689325560570325,[0.78515989 0.55270522],0.6781919622127834,[0.72505734 0.63132658],,0.8015905022621155,0.7903344046261418,[0.83891442 0.74175439],0.7895229062230262,[0.84297339 0.73607242],0.7912095555014007,[0.83489436 0.74752475],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(256, 256)",0.1,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6855545043945312,0.669455716403369,[0.74240342 0.59650801],0.6677087728910305,[0.79418491 0.54123264],0.6806595136441618,[0.69696101 0.66435802],,0.7693759202957153,0.758935026028994,[0.80910409 0.70876596],0.7563318771392136,[0.82936871 0.68329504],0.7630077388359304,[0.78980614 0.73620934],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(256, 256)",0.1,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6868592500686646,0.6646383934790451,[0.75096353 0.57831325],0.6621098865688723,[0.77747084 0.54674893],0.669974733373087,[0.72620413 0.61374534],,0.7507750391960144,0.7372030077607861,[0.79692477 0.67748125],0.7361121681485103,[0.80372175 0.66850258],0.7384730810573668,[0.79024178 0.68670438],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(256, 256)",0.1,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6894688010215759,0.6660403772472738,[0.75449455 0.57758621],0.6636340858968638,[0.77622802 0.55104015],0.6703821733881414,[0.73394495 0.60681939],,0.8111605048179626,0.7993771786495476,[0.84799826 0.75075609],0.8001251971878929,[0.84479032 0.75546008],0.7986704970089379,[0.85123067 0.74611033],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(256, 256)",0.1,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6941286325454712,0.6758499005288963,[0.75282422 0.59887558],0.6731893805238698,[0.79308156 0.5532972 ],0.6845468045094407,[0.71645642 0.65263719],,0.7616929411888123,0.7498694884220747,[0.80425155 0.69548743],0.747902807180602,[0.81783382 0.67797179],0.7525225773814274,[0.79111305 0.71393211],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(256, 256)",0.1,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6883504390716553,0.656528721879502,[0.76107459 0.55198285],0.6569727616897428,[0.75868946 0.55525606],0.656111386386631,[0.76347477 0.548748  ],,0.75926673412323,0.7400121259212168,[0.81076499 0.66925926],0.7459601680794681,[0.78935424 0.7025661 ],0.7361685522101079,[0.83336964 0.63896747],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(256, 256)",0.2,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6805219054222107,0.6568538989409038,[0.74697372 0.56673407],0.6545672942508001,[0.76993305 0.53920154],0.6612868292170309,[0.72534404 0.59722962],,0.7951206564903259,0.7841993263931415,[0.83274648 0.73565217],0.7826345786536222,[0.84144986 0.7238193 ],0.7860498309064812,[0.8242213  0.74787836],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(256, 256)",0.2,0.001,12,True,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6874184608459473,0.6705495014194547,[0.74509804 0.59600096],0.668461320023776,[0.79294727 0.54397537],0.6808626608681627,[0.70269495 0.65903037],,0.7638495564460754,0.7544033640653931,[0.8025693  0.70623742],0.7514913463050408,[0.83142657 0.67155612],0.7601719525657018,[0.77564801 0.7446959 ],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(256, 256)",0.2,0.001,123,True,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6900279521942139,0.671442500435186,[0.74958591 0.5932991 ],0.6688897138062491,[0.78940691 0.54837251],0.6799167279672325,[0.71358945 0.64624401],,0.75926673412323,0.7465634099578751,[0.80330396 0.68982286],0.7451230425226016,[0.81243039 0.6778157 ],0.7483216963760041,[0.79438031 0.70226308],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(256, 256)",0.2,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6935694217681885,0.6707987487750213,[0.75737898 0.58421851],0.6682520702351207,[0.78041363 0.55609052],0.675504385536162,[0.73566514 0.61534363],,0.8025340437889099,0.7904728612933382,[0.84074356 0.74020216],0.7908165604989328,[0.83919271 0.74244041],0.7901387608188581,[0.84230015 0.73797737],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(256, 256)",0.2,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,4
