,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,embedding_dim,num_features,log_signature,swnu_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,0.2739480786463794,0.6387035250663757,0.6332428365975811,[0.58849077 0.6779949 ],0.6589297342799512,[0.72849462 0.58936484],0.6458123861566485,[0.49362477 0.798     ],0.22594763934612275,0.6120996475219727,0.5419003604492904,[0.72122762 0.3625731 ],0.5571848509707411,[0.66509434 0.44927536],0.5458155329170774,[0.7877095  0.30392157],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(64, 64)",0.5,0.001,1,False,focal,2,False,,Conv1d,,concatenation,64,0
0,0.4020977405940785,0.6434699892997742,0.6430258627592281,[0.65561694 0.63043478],0.6429945734404097,[0.66294227 0.62304688],0.6432258652094718,[0.64845173 0.638     ],0.25530511140823364,0.7153024673461914,0.6626650660264105,[0.79591837 0.52941176],0.697079536039768,[0.73239437 0.66176471],0.6563424252382517,[0.87150838 0.44117647],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(64, 64)",0.5,0.001,12,False,focal,2,False,,Conv1d,,concatenation,64,0
0,0.295000367304858,0.6139180064201355,0.6137481282678602,[0.62184874 0.60564752],0.6140319309036184,[0.63793103 0.59013283],0.6142786885245901,[0.60655738 0.622     ],0.19386797845363618,0.7224199175834656,0.6929908112953833,[0.78804348 0.59793814],0.6988152749022314,[0.76719577 0.63043478],0.6893416584510899,[0.81005587 0.56862745],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(64, 64)",0.5,0.001,123,False,focal,2,False,,Conv1d,,concatenation,64,0
0,0.2444630124989678,0.5958055257797241,0.5894021638787341,[0.53812636 0.64067797],0.6126295233540571,[0.66937669 0.55588235],0.6029544626593807,[0.44990893 0.756     ],0.24394264817237854,0.5765124559402466,0.5205534446913758,[0.68435013 0.35675676],0.5245527564804673,[0.65151515 0.39759036],0.5220999014130792,[0.72067039 0.32352941],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(64, 64)",0.5,0.0001,1,False,focal,2,False,,Conv1d,,concatenation,64,1
0,0.24198131263256073,0.602478563785553,0.5966593670039879,[0.54821235 0.64510638],0.6189760348583878,[0.67647059 0.56148148],0.6094189435336976,[0.46083789 0.758     ],0.2378404527902603,0.5943060517311096,0.5368131868131868,[0.7        0.37362637],0.5433457711442786,[0.66169154 0.425     ],0.5381750465549349,[0.74301676 0.33333333],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(64, 64)",0.5,0.0001,12,False,focal,2,False,,Conv1d,,concatenation,64,1
0,0.24618165983873255,0.5948522686958313,0.5825612522834716,[0.51093211 0.6541904 ],0.6225951646090535,[0.69375    0.55144033],0.6041857923497268,[0.40437158 0.804     ],0.2437116891145706,0.6049821972846985,0.5598283964380972,[0.70080863 0.41884817],0.5632607677902621,[0.67708333 0.4494382 ],0.5592069229926607,[0.72625698 0.39215686],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(64, 64)",0.5,0.0001,123,False,focal,2,False,,Conv1d,,concatenation,64,1
0,0.27342041099772735,0.6291706562042236,0.624894632290825,[0.58484525 0.66494401],0.6450746291935057,[0.70618557 0.58396369],0.635544626593807,[0.49908925 0.772     ],0.21457874178886413,0.6192170977592468,0.5409968704679032,[0.73047859 0.35151515],0.5627275374981797,[0.66513761 0.46031746],0.5471847957059919,[0.81005587 0.28431373],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(64, 64)",0.5,0.0005,1,False,focal,2,False,,Conv1d,,concatenation,64,2
0,0.33540360278943004,0.6205910444259644,0.6132005899705015,[0.55973451 0.66666667],0.6430815440191582,[0.71267606 0.57348703],0.6284189435336976,[0.46083789 0.796     ],0.21874672770500184,0.6975088715553284,0.6809590596406865,[0.75362319 0.60829493],0.6785227867993714,[0.78313253 0.57391304],0.6866579033848177,[0.72625698 0.64705882],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(64, 64)",0.5,0.0005,12,False,focal,2,False,,Conv1d,,concatenation,64,2
0,0.3992667110527263,0.6196377873420715,0.615562803505346,[0.575983   0.65514261],0.6340955331904452,[0.69132653 0.57686454],0.6258123861566485,[0.49362477 0.758     ],0.1892739862203598,0.8113878965377808,0.7786974159323596,[0.86375321 0.69364162],0.8225352112676056,[0.8        0.84507042],0.7633913900755833,[0.93854749 0.58823529],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(64, 64)",0.5,0.0005,123,False,focal,2,False,,Conv1d,,concatenation,64,2
0,0.32362355730112863,0.6253575086593628,0.6131965978767222,[0.54461182 0.68178138],0.6605983794791801,[0.74840764 0.57278912],0.6350255009107468,[0.428051 0.842   ],0.2150886207818985,0.6725978851318359,0.6378865979381443,[0.75      0.5257732],0.6422532781228434,[0.73015873 0.55434783],0.6354748603351955,[0.77094972 0.5       ],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(64, 64)",0.1,0.001,1,False,focal,2,False,,Conv1d,,concatenation,64,3
